"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"47"," PARTIDO LIBERAL CHILENO","20.01.93","26.01.93","","","","","","","","","08.06.94","","1 AÑO, 4 MESES Y 17 DÍAS","1","4","17","16","20","1","1993","8","6","1994","1993/01/20","1994/06/08"
"48"," PARTIDO ALIANZA CENTRO","28.01.93","31.12.92","","19.02.93","","20.10.93","","","","","20.10.93","","0 AÑOS, 8 MESES Y 21 DÍAS","0","8","21","8","28","1","1993","20","10","1993","1993/01/28","1993/10/20"
"49"," PARTIDO LIBERAL DEMOCRÁTICO","29.01.93","24.11.92","","17.02.93","","23.09.93","","","","","23.09.93","","0 AÑOS, 7 MESES Y 23 DÍAS ","0","7","23","7","29","1","1993","23","9","1993","1993/01/29","1993/09/23"
"50"," PARTIDO DE LOS TRABAJADORES Y EL PUEBLO DE CHILE","12.02.93","","","26.02.93","","30.09.93","","","","","30.09.93","","0 AÑOS, 7 MESES Y 18 DÍAS","0","7","18","7","12","2","1993","30","9","1993","1993/02/12","1993/09/30"
"51"," PARTIDO OPCIÓN DE CENTRO","07.04.93","14.04.93","","","","","","","","","","","","","","","0","7","4","1993","7","4","1993","1993/04/07","1993/04/07"
"52"," MOVIMIENTO ECOLOGISTA","23.04.93","22.04.93","","30.04.93","","","","25.06.93","","","22.08.94","","1 AÑO, 3 MESES Y 28 DÍAS","1","3","28","15","23","4","1993","22","8","1994","1993/04/23","1994/08/22"
"53"," PARTIDO HUMANISTA DE CHILE","03.01.94","09.12.93","","14.01.94","","19.08.94","","","","","19.08.94","","0 AÑOS, 7 MESES Y 16 DÍAS","0","7","16","7","3","1","1994","19","8","1994","1994/01/03","1994/08/19"
"54"," PARTIDO DEMOCRÁTICO DE IZQUIERDA","18.01.94","03.12.93","","24.01.94","","29.08.94","","","","","29.08.94","","0 AÑOS, 7 MESES Y 11 DÍAS","0","7","11","7","18","1","1994","29","8","1994","1994/01/18","1994/08/29"
"55"," PARTIDO DEMOCRÁTICO","01.02.94","19.01.94","","17.02.94","","24.09.94","","","","","24.09.94","","0 AÑOS, 7 MESES Y 23 DÍAS ","0","7","23","7","1","2","1994","24","9","1994","1994/02/01","1994/09/24"
"56"," CONCERTACIÓN DE IZQUIERDA CRISTIANA","23.03.94","29.03.94","","","","","","","","","","","","","","","0","23","3","1994","23","3","1994","1994/03/23","1994/03/23"
"57"," IZQUIERDA CRISTIANA POR LA PARTICIPACIÓN DEMOCRÁTICA","01.06.94","09.05.94","","13.06.94","","13.01.95","","","","","13.01.95","","0 AÑOS, 7 MESES Y 12 DÍAS","0","7","12","7","1","6","1994","13","1","1995","1994/06/01","1995/01/13"
